,Mean Close,Std Close,Mean Returns,Std Returns,Skew Returns,Kurtosis Returns,Mean Volume,Std Volume
ALRS,79.32478125328385,24.949010546456424,-3.33918168641148e-06,0.0023888972666336,-2.9241571942680964,877.0239590096552,138999.48112601726,243618.5113132228
GAZP,197.09723257895257,62.59359264557812,-3.387560878809559e-06,0.0026721107007109,5.016945831013578,3146.25597978936,363846.8073258188,641688.1292124342
GMKN,176.65860772215214,45.66598170751829,-3.314336924201742e-06,0.002061883657313,2.025654993503173,431.1489779657152,31545.78829523676,122777.14097035796
IRAO,4.2212986601031135,0.783992716229516,-2.827890120504185e-06,0.0024411924972012,-3.076211720619161,998.8051809282908,1217443.770353325,2565024.2922731303
LKOH,5933.689094863116,1169.4882441519858,2.226979312265329e-07,0.0023697220320854,-1.8343191713172085,1941.4092114076864,7499.372139111524,14340.468029376188
MGNT,5206.099479556927,1027.102626598077,1.47704460856893e-06,0.0023430472742546,-5.585008443462518,1223.9868968034707,2909.7894761299017,6074.478555091179
MTSS,277.2320692136709,46.57626440841547,-2.235562267077547e-06,0.0019520745111002,-2.668003772804111,648.2399158371309,25606.14043538568,50568.84410275389
NVTK,1267.8445510743743,272.0437009615059,-6.833527031383093e-07,0.0025908988164598,-3.5659193716081847,903.7827729249004,12403.76871034213,21309.249169236213
PLZL,1258.979247463164,309.8371366116137,4.794341164832574e-06,0.0023326794321227,2.0004442568620835,354.55177765513554,1454.8137104994903,3209.3272648318457
ROSN,476.885459860068,94.388704253509,-1.1669774695145585e-07,0.0025756092382256,4.966221254681661,1913.7104623020848,44431.69207947391,87411.9070686988
RUAL,42.81956211251166,12.680787483638936,5.344320664336839e-07,0.0026441234103826,-0.2210209792024452,385.86712328498845,136508.5338643549,711027.6045381495
SBER,248.6994832483868,63.1831306450806,1.0587051716023151e-06,0.0023653388291614,-11.704042013090188,1670.18151952133,432733.3226176003,728071.3278937198
SNGS,30.35444324780189,6.315383076813606,-4.639045811515066e-06,0.0025119626230643,-3.775329093492728,411.91814026560553,317558.2280572793,716867.8483688582
TATN,545.6456537989839,117.4144408340746,-6.412105736055711e-07,0.0025480920016704,11.40823533237115,3170.314843080712,22652.96242480874,43862.36388346004
YDEX,4010.247104379412,350.0173170595107,7.621003333508077e-07,0.0020311498901754,2.3715418024897126,103.46560842879916,6674.990267973409,11097.354211216125
